Model_FU.,A1,A2,A3,A4,A5,No,,,,,,,,,,,,CTE [300K],CTE [1100K],CTE [1250K],Lat. a[A],Lat. b[A],Lat. c[A],Vol.[A3],Den.[cm3/g],VASP.E[eV/atom],Form.E[eV/atom],Coh.E[eV/atom],ZPE[kJ/mol],DebyeT.[K],Bulk(B_H)[GPa],Shear(G_H)[GPa],Young(E_H)[GPa],Hv:Super-hard(>5GPa),Melting_P.[K],Min. TC:[W/mK],Poisson's_R,Pugh's_C.[G/B]
Re4Co4Mn4Fe4Ni4,Re,Co,Mn,Fe,Ni,5,1.814,0.134848063,161.2,0.086795446,13.38151058,411.422,411.422,476.57,242.2506754,242.2506754,214.127711,9.341,10.2469,10.2645,5.667052,5.714751,7.231703,234.204153,11.759,-166.904302,0.087,-5.318,20.07,429.2,227.83,100.71,263,9.524,1801.14,1.1016,0.307,0.442
Co4Fe4Mn4Ni4Os4,Co,Fe,Mn,Ni,Os,5,1.874,0.207132808,160.6,0.079992463,13.38151058,410.89,410.89,473.796,242.550004,242.550004,214.600276,10.3611,11.536,11.559,4.407032,6.740387,8.808169,233.683153,11.898,-162.546817,0.07,-5.442,21.66,463.2,203.04,120.22,300.94,15.05,2160.98,1.1732,0.253,0.592
Co4Fe4Ir4Mn4Ni4,Co,Fe,Ir,Mn,Ni,5,1.874,0.207132808,159.6,0.068705515,13.38151058,432.982,432.982,464.23,233.9009181,233.9009181,217.3111102,10.7499,11.9064,11.9289,6.799081,6.787504,8.496318,237.762708,11.751,-154.209917,0.006,-5.306,21.11,451.4,193.2,114.03,285.68,14.442,2044.48,1.137,0.253,0.59
Pt4Co4Mn4Fe4Ni4,Pt,Co,Mn,Fe,Ni,5,1.89,0.233152311,159,0.062006327,13.38151058,434.686,434.686,465.934,233.5679398,233.5679398,216.7071028,8.0886,9.0035,9.0215,5.692234,5.677352,7.220097,233.32967,12.055,-141.389319,0.097,-4.854,21.64,462.6,260.6,120,312.03,11.282,2073.89,1.188,0.3,0.46
Au4Co4Mn4Fe4Ni4,Au,Co,Mn,Fe,Ni,5,1.942,0.325170724,158.4,0.05541189,13.38151058,437.766,437.766,469.014,233.0913331,233.0913331,215.7476947,10.0807,10.8982,10.9139,5.741052,5.713512,7.360071,241.414256,11.703,-126.228867,0.279,-4.17,18.39,393.2,208.54,85.65,225.93,7.818,1638.13,1.0029,0.319,0.411
Al4Co4Cr4Fe4Ni4,Al,Co,Cr,Fe,Ni,5,1.778,0.120565335,148.2,0.10900308,13.38151058,317.142,317.142,348.39,54.73526885,54.73526885,52.44011251,14.0142,15.6452,15.6772,4.44875,6.629298,8.685481,230.276875,7.282,-138.062628,-0.101,-4.696,21.94,469.1,150.18,73.79,189.53,8.612,1639.42,1.2019,0.289,0.491
Co4Cr4Fe4Ni4Sc4,Co,Cr,Fe,Ni,Sc,5,1.728,0.203312567,161.4,0.07852778,13.38151058,302.332,302.332,372.866,35.67101198,35.67101198,88.96622294,13.9575,14.853,14.87,5.37634,5.51862,9.350666,265.823147,6.757,-145.854907,0.01,-4.72,16.39,350.4,139.82,41.44,112.94,3.219,1243.84,0.8752,0.365,0.296
Co4Cr4Fe4Ni4Ti4,Co,Cr,Fe,Ni,Ti,5,1.764,0.141506184,159.8,0.062126026,13.38151058,295.168,295.168,361.11,32.68624139,32.68624139,69.54168103,10.5439,11.7262,11.7493,5.792169,5.727221,7.128055,236.453575,7.679,-152.911596,-0.025,-4.999,21.54,460.7,198.37,75.98,201.99,6.629,1635.26,1.1871,0.33,0.383
Co4Cr4Fe4Ni4V4,Co,Cr,Fe,Ni,V,5,1.782,0.115134704,158.8,0.052746578,13.38151058,296.752,296.752,328,32.83516128,32.83516128,45.89615452,10.7789,12.08,12.1056,4.357103,5.561302,9.823103,225.274977,8.15,-156.473672,0.027,-4.941,22.33,477.5,200.95,84.05,220.89,7.864,1927.67,1.2445,0.316,0.418
Co8Cr8Fe8Mn8Ni8,Co,Cr,Fe,Mn,Ni,5,1.766,0.138361844,156.8,0.038981395,13.38151058,414.402,414.402,445.65,240.6540925,240.6540925,227.134425,14.058,15.8842,15.9204,6.603224,6.609578,10.610093,440.785242,8.451,-310.873571,0.08,-4.579,23.14,494.8,155.14,93.6,233.41,12.873,1798.12,1.2748,0.249,0.603
